tier,model,bench,arch,arch_key,N,n,acc,lo,hi,usd_1k,samples
T3,gpt-5-mini,MedAgentsBench-hard,Self-consistency,sc,5,250,44.4,38.3718776205658,50.59762146862998,2.835312,5.0
T3,gpt-5-mini,MedAgentsBench-hard,Self-consistency,sc,9,250,44.0,37.983590558700136,50.19801560829534,5.116732,9.0
T3,gpt-5-mini,MedAgentsBench-hard,Self-consistency,sc,15,250,44.4,38.3718776205658,50.59762146862998,8.428652,15.0
T3,gpt-5-mini,MedQA,Centralized,centralized,1,250,93.2,89.38099139309014,95.7114442045424,1.072608,2.056
T3,gpt-5-mini,MedQA,Centralized,centralized,3,250,91.60000000000001,87.5004257077684,94.44043820106295,2.003856,4.088
T3,gpt-5-mini,MedQA,Centralized,centralized,5,250,92.4,88.43577467284997,95.08087508038197,2.838736,6.184
T3,gpt-5-mini,MedQA,Centralized,centralized,7,250,92.4,88.43577467284997,95.08087508038197,3.800244,8.304
T3,gpt-5-mini,MedQA,Centralized,centralized,9,250,92.4,88.43577467284997,95.08087508038197,4.658812,10.224
T3,gpt-5-mini,MedQA,Decentralized,discussion,1,250,92.80000000000001,88.90706197648032,95.39748069895191,0.436008,1.008
T3,gpt-5-mini,MedQA,Decentralized,discussion,3,250,92.4,88.43577467284997,95.08087508038197,1.498456,3.276
T3,gpt-5-mini,MedQA,Decentralized,discussion,5,250,92.80000000000001,88.90706197648032,95.39748069895191,2.621332,5.7
T3,gpt-5-mini,MedQA,Decentralized,discussion,7,250,92.4,88.43577467284997,95.08087508038197,3.700636,8.064
T3,gpt-5-mini,MedQA,Decentralized,discussion,9,250,92.4,88.43577467284997,95.08087508038197,4.701316,10.332
T3,gpt-5-mini,MedQA,Hybrid,tiered,1,250,93.60000000000001,89.85776859091057,96.02255992892228,0.434424,1.02
T3,gpt-5-mini,MedQA,Hybrid,tiered,3,250,93.2,89.38099139309014,95.7114442045424,0.479388,1.06
T3,gpt-5-mini,MedQA,Hybrid,tiered,5,250,93.2,89.38099139309014,95.7114442045424,0.521668,1.1
T3,gpt-5-mini,MedQA,Hybrid,tiered,7,250,93.2,89.38099139309014,95.7114442045424,0.560652,1.14
T3,gpt-5-mini,MedQA,Hybrid,tiered,9,250,93.2,89.38099139309014,95.7114442045424,0.601684,1.18
T3,gpt-5-mini,MedQA,Independent,independent,1,250,92.4,88.43577467284997,95.08087508038197,0.433492,1.0
T3,gpt-5-mini,MedQA,Independent,independent,3,250,91.60000000000001,87.5004257077684,94.44043820106295,1.291796,3.0
T3,gpt-5-mini,MedQA,Independent,independent,5,250,91.60000000000001,87.5004257077684,94.44043820106295,2.152672,5.0
T3,gpt-5-mini,MedQA,Independent,independent,7,250,91.60000000000001,87.5004257077684,94.44043820106295,3.007696,7.0
T3,gpt-5-mini,MedQA,Independent,independent,9,250,92.0,87.96694903812106,94.76180779291059,3.857716,9.0
T3,gpt-5-mini,MedQA,SAS CoT,cot,1,250,91.60000000000001,87.5004257077684,94.44043820106295,0.57424,1.0
T3,gpt-5-mini,MedQA,SAS zero-shot,zeroshot,1,250,94.39999999999999,90.82084818368784,96.6352661805456,0.26718,1.0
T3,gpt-5-mini,MedQA,Self-consistency,sc,1,250,92.0,87.96694903812106,94.76180779291059,0.51884,1.0
